Nom;Code(s) UIC
Abancourt;87313759
Abbaretz;87481614
Abbeville;87317362
Ablon-sur-Seine;87545269
Achères Grand Cormier;87386052
Achères Ville;87381657
Achiet-le-Grand;87342048
Aéroport Charles de Gaulle 1;87271460
Aéroport Charles de Gaulle 1 TGV;87001479
Aéroport Charles de Gaulle 2 TGV;87271494
Agay;87757559
Agde;87781278
Agen;87586008
Agonac;87595157
Aguilcourt - Variscourt;87171702
Aigrefeuille le Thou;87485193
Aiguebelette-le-Lac;87741421
Aiguebelle;87741256
Aigueperse;87734129
Aigues-Mortes;87775858
Aiguillon;87586693
Aillevillers;87185629
Ailly-sur-Noye;87313221
Ailly-sur-Somme;87313098
Aimargues;87775833
Aime - La Plagne;87741769
Aiserey;87713636
Aix-en-Provence;87751404
Aix-en-Provence TGV;87319012
Aix-les-Bains le Revard;87741132
Aixe-sur-Vienne;87592667
Alaï;87722744
Albens;87746115
Albert;87313072
Albertville;87741645
Albi;87615005
Albi Madeleine;87615195
Albias;87613398
Albigny - Neuville;87721266
Alençon;87444711
Alès;87775288
Allassac;87594234
Allée de la Tour Rendez-Vous;87113878
Allenc;87783654
Alleyras;87731885
Altkirch;87182238
Amagne - Lucquy;87172262
Ambazac;87592311
Ambérieu-en-Bugey;87743716
Amboise;87574343
Ambronay - Priay;87743146
Amiens;87313874
Amifontaine;87171744
Amilly Ouerray;87394205
Amplepuis;87721035
Ancenis;87481192
Anchamps;87172858
Anché - Voulon;87575332
Ancy-sur-Moselle;87192419
Andelot-en-Montagne;87715102
Andrésy;87381491
Andrézieux-Bouthéon;87726406
Angers Maître École;87484048
Angers Saint-Laud;87484006
Angerville;87543090
Angoulême;87583005
Angoulins sur Mer;87485102
Anizy - Pinon;87296566
Annappes;87286856
Annecy;87746008
Annemasse;87745497
Anor;87295055
Anse Halte;87721324
Anthéor Cap Roux;87757567
Antibes;87757674
Anvin;87317255
Apach;87191643
Appilly;87296459
Arbanats;87582726
Arbois;87718155
Arc-et-Senans;87718841
Arcachon;87582668
Arches;87144410
Arcy-sur-Cure;87683680
Arenc Euroméditerranée;87580340
Arengosse;87671479
Argelès-sur-Mer;87784231
Argentan;87444539
Argenteuil;87381848
Argentière;87746859
Argenton-sur-Creuse;87597120
Arles;87753657
Arleux;87345421
Armentières;87286146
Arnage;87396549
Arnèke;87281121
Arpajon;87545467
Arras;87342014
Arrou;87394486
Ars-sur-Moselle;87192401
Artenay;87543058
Artix;87672212
Arvant;87734251
Ascq;87286864
Asnières-sur-Seine;87381137
Aspres-sur-Buëch;87763250
Assat;87672162
Assier;87613075
Athis-Mons;87545251
Aubagne;87751750
Aubazines - Saint-Hilaire;87594465
Aubergenville Élisabethville;87386730
Aubiat;87734111
Aubie - Saint-Antoine;87491233
Aubiet;87611764
Aubigné-Racan;87396572
Aubigny-au-Bac;87345447
Aubigny-en-Artois;87342246
Aubin;87613224
Aubin-Saint-Vaast;87316604
Auboué;87191684
Aubrives;87172122
Aubusson;87597823
Auch;87611749
Auchy-lès-Hesdin;87317230
Audrieu;87444059
Audruicq;87281428
Audun-le-Roman;87194357
Auffay;87415158
Aulnat Aéroport;87562421
Aulnay-sous-Bois;87271411
Aulnoye-Aymeries;87295600
Aumale;87313767
Aumont-Aubrac;87783266
Auneau;87545657
Auray;87476200
Aurec-sur-Loire;87726760
Aurillac;87645002
Auterive;87611384
Autun;87694570
Auvers-sur-Oise;87276543
Auxerre Saint-Gervais;87683573
Auxonne;87713347
Avallon;87683789
Avenay;87171579
Avenue du Président Kennedy Maison de Radio France;87543207
Avenue Foch;87381038
Avenue Henri Martin;87381046
Avesnelles;87295725
Avesnes-sur-Helpe;87295733
Avignon Centre;87765008
Avignon TGV1;87318964
Avignon TGV2;87981902
Avignonet-Lauragais;87616011
Avion;87342584
Avord;87576439
Avoudrey;87718551
Avranches;87448514
Avrechy;87313296
Ax-les-Thermes;87611533
Ay;87171561
Aytré Plage;87437806
Azay-le-Rideau;87571638
Azay-sur-Cher;87574442
Azerailles;87141408
Babinière;87590349
Baccarat;87141416
Bagnac-sur-Célé;87613604
Bagneaux-sur-Loing;87684191
Bagnols - Chadenet;87783647
Bagnols-sur-Cèze;87764571
Baillargues;87773457
Bailleau-le-Pin;87394411
Bailleul;87286179
Bailleul-Sir-Berthoult;87342592
Bains-les-Bains;87144147
Bainville-sur-Madon;87141531
Baisieux;87286872
Balagny Saint-Épin;87313569
Balbigny;87726869
Ballan-Miré;87571604
Ballancourt-sur-Essonne;87681437
Balsièges;87111864
Banassac - La Canourgue;87783324
Bandol;87755223
Bannalec;87474189
Bantzenheim;87182840
Banyuls-sur-Mer;87784298
Bar-le-Duc;87175042
Bar-sur-Aube;87118299
Baraqueville Carcenac Peyralès;87615757
Barentin;87411264
Barenton-Bugny;87297291
Barjac;87783563
Baroncourt;87192658
Barr;87214247
Barsac;87582759
Bartenheim;87182113
Bas - Monistrol-sur-Loire;87726778
Bas Évette;87184200
Base Aérienne;87699223
Basse-Ham;87191601
Bassens;87581850
Batz-sur-Mer;87481770
Baule;87574152
Baume-les-Dames;87718460
Bauvin - Provin;87345280
Bayard;87175133
Bayeux;87444067
Bayon;87141218
Bayonne;87673004
Bazancourt;87171462
Baziège;87611723
Béard;87696468
Beau Marais;87317610
